,순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,영화코드,영화명(영어),제작년도,영화유형,제작상태,제작국가,영화장르,대표국가,대표 장르,디렉터,제작사,평점
0,1,명량,20140730,"135,758,658,810","17,615,919","1,587","188,726",20129370,The Admiral: Roaring Currents,2013,장편,개봉,한국,"사극,액션",한국,사극,김한민,(주)빅스톤픽쳐스,8.88
1,2,극한직업,20190123,"139,655,543,516","16,266,338","2,003","292,816",20182530,Extreme Job,2018,장편,개봉,한국,코미디,한국,코미디,이병헌,(주)어바웃잇,9.20
2,3,신과함께-죄와 벌,20171220,"115,727,528,087","14,414,658","1,912","214,631",20150976,Along with the Gods: The Two Worlds,2017,장편,개봉,한국,"판타지,드라마",한국,판타지,김용화,리얼라이즈픽쳐스(주),8.73
3,4,국제시장,20141217,"110,947,621,230","14,264,478","1,044","212,705",20137048,Ode to My Father,2014,장편,개봉,한국,드라마,한국,드라마,윤제균,(주)제이케이필름,9.16
4,5,어벤져스: 엔드게임,20190424,"122,492,181,020","13,977,602","2,835","246,433",20184889,Avengers: Endgame,2018,장편,개봉,미국,"액션,SF",미국,액션,안소니 루소,,9.50
5,6,겨울왕국 2,20191121,"114,843,932,550","13,750,668","2,648","299,454",20197803,Frozen 2,2019,장편,개봉,미국,애니메이션,미국,애니메이션,크리스 벅,,8.95
6,7,베테랑,20150805,"105,170,856,250","13,414,484","1,115","199,307",20148048,Veteran,2014,장편,개봉,한국,"액션,드라마",한국,액션,류승완,(주)외유내강,9.24
7,8,아바타,20091217,"125,304,346,000","13,338,863",917,"164,457",20090834,Avatar,2009,장편,개봉,미국,"SF,액션,어드벤처",미국,SF,제임스 카메론,이십세기폭스필름코퍼레이션,8.82
8,9,도둑들,20120725,"93,672,497,700","12,984,701","1,091","155,487",20124034,The Thieves,2012,장편,개봉,"한국,홍콩","액션,범죄",한국,액션,최동훈,(주)케이퍼필름,7.65
9,10,7번방의 선물,20130123,"91,437,368,170","12,812,144",866,"167,013",20127593,Miracle in Cell No.7,2012,장편,개봉,한국,"코미디,드라마",한국,코미디,이환경,(주)화인웍스,8.83
10,11,알라딘,20190523,"109,041,960,039","12,797,927","1,409","284,820",20183867,Aladdin,2018,장편,개봉,미국,"어드벤처,가족,판타지",미국,어드벤처,가이 리치,,9.35
11,12,암살,20150722,"98,469,385,781","12,706,947","1,519","175,222",20148851,Assassination,2015,장편,개봉,한국,"액션,드라마",한국,액션,최동훈,(주)케이퍼필름,9.10
12,13,범죄도시2,20220518,"131,298,796,478","12,693,415","2,521","355,768",20204548,The Roundup,2022,장편,개봉,한국,"범죄,액션",한국,범죄,이상용,주식회사 빅펀치픽쳐스,8.99
13,14,"광해, 왕이 된 남자",20120913,"88,913,283,469","12,324,062","1,001","203,464",20124079,Masquerade,2012,장편,개봉,한국,"사극,드라마",한국,사극,추창민,리얼라이즈픽쳐스(주),9.26
14,15,신과함께-인과 연,20180801,"102,689,349,539","12,278,010","2,235","180,750",20186202,Along with the Gods: The Last 49 Days,2017,장편,개봉,한국,"판타지,드라마",한국,판타지,김용화,리얼라이즈픽쳐스(주),8.63
15,16,택시운전사,20170802,"95,871,631,649","12,189,706","1,906","184,208",20162869,A Taxi Driver,2017,장편,개봉,한국,드라마,한국,드라마,장훈,더램프(주),9.28
16,17,부산행,20160720,"93,188,162,548","11,567,815","1,788","151,533",20156564,TRAIN TO BUSAN,2016,장편,개봉,한국,"액션,스릴러",한국,액션,연상호,(주)영화사레드피터,7.16
17,18,변호인,20131218,"82,876,713,788","11,375,399",925,"152,290",20134803,The Attorney,2013,장편,개봉,한국,드라마,한국,드라마,양우석,위더스필름(주),9.30
18,19,해운대,20090722,"81,028,720,000","11,325,117",764,"154,332",20090074,Haeundae,2009,장편,개봉,한국,"액션,드라마,어드벤처",한국,액션,윤제균,(주)제이케이필름,7.44
19,20,어벤져스: 인피니티 워,20180425,"100,081,428,549","11,233,176","2,553","243,677",20177478,Avengers: Infinity War,2018,장편,개봉,미국,"액션,어드벤처,판타지,SF",미국,액션,안소니 루소,,9.08
20,21,괴물,20060727,"66,717,700,300","10,917,400",647,"113,105",20060151,The Host,2006,장편,개봉,한국,"SF,가족,드라마",한국,SF,봉준호,영화사청어람(주),8.63
21,22,아바타: 물의 길,20221214,"137,647,702,899","10,805,065","2,809","283,037",20225061,Avatar: The Way of Water,2022,장편,개봉,미국,"액션,어드벤처,SF,스릴러",미국,액션,제임스 카메론,,8.82
22,23,왕의 남자,20051229,"66,019,904,400","10,514,177",313,"111,193",20050333,King and the Clown,2005,장편,개봉,한국,드라마,한국,드라마,이준익,(주)씨네월드,9.04
